texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:696:17:696:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:691:55:691:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:692:78:692:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:695:69:695:69: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:695:73:695:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:696:1:696:84: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:711:17:711:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:711:25:711:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:711:26:711:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:711:27:711:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:711:28:711:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:711:29:711:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:723:19:723:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:726:12:726:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:726:18:726:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:726:19:726:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:728:26:728:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:729:38:729:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:729:41:729:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:730:39:730:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:730:40:730:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:730:49:730:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:730:62:730:77: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:730:78:730:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:731:29:731:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:731:42:731:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:731:57:731:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:732:8:732:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:732:9:732:9: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:733:30:733:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:734:8:734:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:738:16:738:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:738:23:738:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:738:24:738:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:738:27:738:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:738:28:738:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:738:29:738:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:738:30:738:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:740:14:740:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:740:21:740:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:740:27:740:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:742:22:742:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:743:10:743:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:743:16:743:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:743:17:743:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:751:41:751:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:751:51:751:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:751:52:751:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:751:62:751:62: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:751:63:751:63: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:751:66:751:66: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:751:67:751:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:752:22:752:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:752:29:752:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:752:30:752:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:752:47:752:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:752:48:752:48: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:753:28:753:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:753:29:753:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:754:67:754:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:26:764:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:33:764:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:34:764:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:51:764:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:52:764:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:53:764:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:60:764:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:764:61:764:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:767:46:767:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:769:1:769:88: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:774:53:774:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:774:54:774:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:774:73:774:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:1:778:102: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:24:778:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:34:778:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:35:778:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:52:778:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:53:778:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:54:778:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:58:778:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:59:778:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:60:778:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:778:93:778:93: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:25:782:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:32:782:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:33:782:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:50:782:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:51:782:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:52:782:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:57:782:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:782:58:782:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:785:46:785:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:788:38:788:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:25:791:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:35:791:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:36:791:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:53:791:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:54:791:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:55:791:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:60:791:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:791:61:791:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:793:26:793:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:793:36:793:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:794:33:794:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:794:42:794:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:794:45:794:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:800:40:800:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:800:41:800:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:800:45:800:45: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:800:49:800:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:804:33:804:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:806:28:806:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:806:29:806:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:808:4:808:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:808:5:808:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:810:4:810:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:810:6:810:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:811:28:811:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:811:29:811:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:813:4:813:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:813:5:813:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:817:19:817:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:817:20:817:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:817:35:817:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:821:4:821:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:821:6:821:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:826:18:826:18: s204 missing stylistic whitespaces
