texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:735:17:735:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:777:23:777:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:777:24:777:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:777:27:777:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:777:28:777:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:777:29:777:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:777:30:777:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:779:14:779:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:779:21:779:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:779:27:779:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:781:22:781:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:782:10:782:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:782:16:782:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:782:17:782:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:790:41:790:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:790:51:790:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:790:52:790:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:790:62:790:62: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:790:63:790:63: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:790:66:790:66: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:790:67:790:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:791:22:791:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:791:29:791:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:791:30:791:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:791:47:791:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:791:48:791:48: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:792:28:792:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:792:29:792:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:793:67:793:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:26:803:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:33:803:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:34:803:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:51:803:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:52:803:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:53:803:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:60:803:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:803:61:803:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:806:46:806:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:808:1:808:88: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:813:53:813:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:813:54:813:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:813:73:813:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:1:817:102: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:24:817:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:34:817:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:35:817:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:52:817:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:53:817:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:54:817:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:58:817:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:59:817:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:60:817:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:817:93:817:93: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:25:821:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:32:821:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:33:821:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:50:821:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:51:821:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:52:821:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:57:821:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:821:58:821:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:824:46:824:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:827:38:827:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:25:830:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:35:830:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:36:830:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:53:830:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:54:830:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:55:830:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:60:830:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:830:61:830:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:832:26:832:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:832:36:832:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:833:33:833:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:833:42:833:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:833:45:833:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:839:40:839:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:839:41:839:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:839:45:839:45: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:839:49:839:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:843:33:843:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:845:28:845:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:845:29:845:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:847:4:847:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:847:5:847:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:849:4:849:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:849:6:849:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:850:28:850:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:850:29:850:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:852:4:852:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:852:5:852:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:856:19:856:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:856:20:856:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:856:35:856:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:860:4:860:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:860:6:860:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:865:18:865:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1003:32:1003:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1003:35:1003:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1003:36:1003:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1003:46:1003:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1003:47:1003:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1003:50:1003:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1004:26:1004:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1004:30:1004:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:18:1005:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:25:1005:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:26:1005:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:27:1005:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:31:1005:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:32:1005:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:33:1005:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1005:40:1005:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:18:1019:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:28:1019:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:29:1019:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:30:1019:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:34:1019:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:35:1019:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:36:1019:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:1019:43:1019:43: s204 missing stylistic whitespaces
