texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:121:79:121:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:123:1:123:83: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:127:1:127:84: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:127:79:127:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:127:82:127:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:133:1:133:81: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:133:78:133:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:133:81:133:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:135:1:135:83: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:138:31:138:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:138:41:138:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:139:16:139:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:139:29:139:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:146:62:146:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:146:64:146:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:146:68:146:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:146:71:146:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:147:62:147:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:147:63:147:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:147:68:147:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:147:69:147:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:148:62:148:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:148:65:148:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:148:68:148:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:148:69:148:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:149:62:149:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:149:68:149:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:149:69:149:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:164:38:164:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:164:43:164:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:171:23:171:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:171:24:171:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:172:18:172:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:172:25:172:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:172:32:172:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:172:33:172:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:172:35:172:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:172:38:172:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:172:40:172:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:174:32:174:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:174:36:174:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:177:16:177:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:177:23:177:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:184:18:184:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:184:28:184:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:207:29:207:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:207:32:207:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:213:58:213:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:213:64:213:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:221:10:221:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:227:58:227:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:227:64:227:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:236:10:236:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:246:25:246:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:246:35:246:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:246:38:246:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:246:47:246:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:253:35:253:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.chords.code.tex:253:38:253:38: s204 missing stylistic whitespaces
