texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:53:53:53:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:54:44:54:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:54:46:54:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:54:52:54:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:54:53:54:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:55:44:55:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:55:48:55:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:55:52:55:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:55:53:55:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:56:44:56:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:56:47:56:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:56:52:56:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:56:53:56:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:57:44:57:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:57:45:57:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:57:52:57:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:57:53:57:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:58:44:58:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:58:47:58:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:58:52:58:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:58:53:58:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:59:44:59:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:59:48:59:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:59:52:59:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:59:53:59:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:60:44:60:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:60:46:60:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:60:52:60:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:60:53:60:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:61:44:61:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:61:48:61:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:61:52:61:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:61:53:61:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:62:44:62:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:62:48:62:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:62:52:62:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:62:53:62:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:63:44:63:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:63:45:63:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:63:52:63:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:63:53:63:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:64:44:64:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:64:47:64:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:64:52:64:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:64:53:64:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:65:44:65:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:65:47:65:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:65:52:65:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:65:53:65:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:66:44:66:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:66:52:66:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:66:53:66:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:67:44:67:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:67:48:67:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:67:52:67:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:67:53:67:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:68:44:68:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:68:48:68:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:68:52:68:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:68:53:68:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:69:44:69:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:69:46:69:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:69:52:69:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:69:53:69:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:70:44:70:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:70:48:70:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:70:52:70:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:70:53:70:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:71:44:71:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:71:48:71:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:71:52:71:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:71:53:71:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:72:44:72:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:72:45:72:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:72:52:72:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:72:53:72:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:73:44:73:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:73:47:73:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:73:52:73:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:73:53:73:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:74:44:74:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:74:47:74:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:74:52:74:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:74:53:74:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:75:44:75:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:75:52:75:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:75:53:75:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:76:44:76:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:76:48:76:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:76:52:76:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:76:53:76:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:77:44:77:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:77:48:77:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:77:52:77:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:77:53:77:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:78:44:78:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:78:46:78:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:78:52:78:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:78:53:78:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:79:44:79:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:79:48:79:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:79:52:79:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:79:53:79:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:80:44:80:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:80:47:80:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:80:52:80:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:80:53:80:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:81:44:81:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:81:45:81:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:81:52:81:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:81:53:81:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:82:44:82:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:82:47:82:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:82:52:82:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:82:53:82:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:83:44:83:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:83:48:83:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:83:52:83:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:83:53:83:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:84:44:84:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:84:52:84:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:84:54:84:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:85:44:85:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:85:48:85:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:85:52:85:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:85:54:85:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:86:44:86:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:86:49:86:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:86:52:86:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:86:54:86:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:87:44:87:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:87:46:87:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:87:52:87:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:87:54:87:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:88:44:88:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:88:48:88:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:88:52:88:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:88:54:88:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:89:44:89:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:89:47:89:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:89:52:89:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:89:54:89:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:90:44:90:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:90:45:90:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:90:52:90:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:90:54:90:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:91:44:91:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:91:47:91:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:91:52:91:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:91:54:91:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:92:44:92:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:92:48:92:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:92:52:92:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:92:54:92:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:95:4:95:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:95:50:95:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:97:4:97:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:97:52:97:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:99:47:99:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:99:48:99:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:99:52:99:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:99:57:99:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:100:47:100:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:100:48:100:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:100:52:100:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:100:56:100:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:101:47:101:47: s204 missing stylistic whitespaces
