texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:24:1:24:13: w101 unexpected delimiters
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:97:1:97:85: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:98:1:98:92: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:100:1:100:86: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:101:1:101:93: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:125:1:125:86: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:125:9:125:24: w302 unbraced n-type function call argument
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:130:1:130:85: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:148:25:148:25: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:148:30:148:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:148:31:148:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:148:34:148:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:157:1:157:81: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:160:1:160:121: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:161:1:161:115: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:162:1:162:117: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:177:27:177:27: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:177:30:177:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:179:48:179:48: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:179:49:179:49: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:187:1:187:98: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:188:1:188:91: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:189:1:189:102: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:230:1:230:85: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:231:1:231:92: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:233:1:233:86: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:234:1:234:93: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:240:33:240:33: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:240:36:240:36: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:250:1:250:131: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:251:1:251:149: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:252:1:252:158: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:263:21:263:21: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:263:27:263:27: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:263:28:263:28: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:263:29:263:29: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:263:34:263:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:264:27:264:27: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:264:28:264:28: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:265:27:265:27: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:265:28:265:28: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:266:27:266:27: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:266:28:266:28: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:267:27:267:27: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:267:28:267:28: s204 missing stylistic whitespaces
