texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:174:53:174:53: e304 unexpected parameter number
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:24:18:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:25:18:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:29:18:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:30:18:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:31:18:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:18:37:18:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:14:19:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:21:19:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:22:19:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:23:19:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:27:19:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:28:19:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:29:19:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:19:35:19:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:14:20:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:22:20:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:23:20:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:24:20:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:28:20:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:29:20:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:30:20:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:20:36:20:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:25:124:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:36:124:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:37:124:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:38:124:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:59:124:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:59:124:72: w202 deprecated control sequences
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:73:124:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:124:74:124:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:25:135:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:36:135:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:37:135:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:38:135:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:59:135:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:59:135:72: w202 deprecated control sequences
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:73:135:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:135:74:135:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:25:143:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:36:143:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:37:143:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:38:143:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:62:143:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:62:143:75: w202 deprecated control sequences
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:76:143:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:143:77:143:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:156:1:156:43: w401 unused private function
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:164:1:164:44: w401 unused private function
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:166:1:166:89: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:169:1:169:43: w401 unused private function
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:171:1:171:101: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:173:41:173:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:173:42:173:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:173:45:173:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:180:31:180:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:180:35:180:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:184:33:184:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:184:44:184:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:184:45:184:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:184:46:184:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:184:73:184:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:194:35:194:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:195:29:195:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:197:23:197:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:197:34:197:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:198:12:198:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:198:34:198:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:198:54:198:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:198:55:198:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:199:12:199:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:199:65:199:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:205:1:205:2652: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:206:1:206:5007: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:212:1:212:706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:213:1:213:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:219:1:219:706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:220:1:220:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:221:1:221:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:227:1:227:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:228:1:228:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:229:1:229:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:230:1:230:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:236:1:236:2137: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:237:1:237:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:243:1:243:2673: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:244:1:244:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:250:1:250:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:251:1:251:1309: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:252:1:252:505: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:253:1:253:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:259:1:259:1510: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:260:1:260:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:266:1:266:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:267:1:267:706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:268:1:268:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:274:1:274:1845: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:275:1:275:5010: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:281:1:281:598: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:282:1:282:2721: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:283:1:283:598: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:284:1:284:2720: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:285:1:285:598: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:286:1:286:301: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:287:1:287:2722: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:288:1:288:598: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:289:1:289:301: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:290:1:290:2721: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:291:1:291:574: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:292:1:292:2702: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:298:1:298:6613: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:299:1:299:299: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:300:1:300:9973: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:301:1:301:575: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:307:1:307:5196: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:308:1:308:303: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:309:1:309:587: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:310:1:310:301: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:311:1:311:5207: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:312:1:312:587: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:318:1:318:601: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:319:1:319:2710: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:320:1:320:601: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:321:1:321:2709: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:322:1:322:575: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:323:1:323:2702: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:329:1:329:597: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:330:1:330:303: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:331:1:331:2719: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:332:1:332:597: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:333:1:333:2716: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:334:1:334:597: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:335:1:335:302: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:336:1:336:2720: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:337:1:337:597: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:338:1:338:2717: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:344:1:344:599: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:345:1:345:302: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:346:1:346:2718: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:347:1:347:599: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:348:1:348:2717: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:349:1:349:599: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:350:1:350:302: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:351:1:351:2722: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:352:1:352:599: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:353:1:353:2720: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:354:1:354:575: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:355:1:355:2706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:361:1:361:309: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:362:1:362:2731: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:363:1:363:314: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:364:1:364:2736: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:365:1:365:310: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:366:1:366:2738: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:367:1:367:2278: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:368:1:368:305: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:369:1:369:2735: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:370:1:370:306: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:371:1:371:2737: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:372:1:372:1146: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:373:1:373:303: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:374:1:374:2740: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:380:1:380:306: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:381:1:381:2708: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:382:1:382:312: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:383:1:383:2727: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:384:1:384:312: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:385:1:385:2721: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:386:1:386:310: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:387:1:387:2720: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:388:1:388:310: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:389:1:389:2710: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:390:1:390:314: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:391:1:391:2732: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:392:1:392:4360: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:393:1:393:314: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:394:1:394:2737: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:400:1:400:2725: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:401:1:401:2731: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:402:1:402:2736: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:403:1:403:2735: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:404:1:404:308: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:405:1:405:2737: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:406:1:406:308: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:407:1:407:2728: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:408:1:408:308: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:409:1:409:2740: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:410:1:410:4557: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:411:1:411:308: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:412:1:412:2733: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:418:1:418:301: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:419:1:419:2727: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:420:1:420:299: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:421:1:421:2713: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:422:1:422:1712: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:423:1:423:301: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:424:1:424:2720: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:425:1:425:301: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:426:1:426:2719: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:427:1:427:299: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:428:1:428:2707: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:429:1:429:1697: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:430:1:430:301: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:431:1:431:2714: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:432:1:432:299: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:433:1:433:2717: s103 line too long
