texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:20:1:20:49: w401 unused private function
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:59:38:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:60:38:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:38:64:38:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:9:40:61: w426 incorrect number of arguments supplied to message
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:24:40:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:25:40:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:37:40:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:38:40:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:39:40:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:53:40:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:54:40:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:40:58:40:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:46:21:46:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:46:45:46:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:47:19:47:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:47:20:47:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:47:45:47:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:47:46:47:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:48:17:48:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:48:43:48:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:50:6:50:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:56:10:56:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:56:35:56:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:57:15:57:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:59:4:59:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:5:60:57: w426 incorrect number of arguments supplied to message
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:20:60:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:21:60:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:33:60:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:34:60:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:35:60:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:49:60:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:50:60:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome7/fontawesome7-generic-helper.sty:60:54:60:54: s204 missing stylistic whitespaces
