texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:177:62:177:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:177:63:177:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:178:13:178:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:179:4:179:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:180:2:180:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:181:48:181:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:181:49:181:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:182:19:182:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:183:22:183:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:183:25:183:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:184:7:184:7: w303 braced N-type function call argument
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:184:13:184:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:185:8:185:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:185:19:185:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:185:20:185:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:186:4:186:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:187:47:187:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:188:66:188:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:189:52:189:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:190:4:190:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:191:2:191:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:204:21:204:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:204:31:204:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:215:40:215:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:215:42:215:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:217:44:217:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:217:46:217:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:225:32:225:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:225:37:225:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:226:32:226:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:226:40:226:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:227:32:227:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:227:43:227:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:228:32:228:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:228:42:228:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:229:32:229:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:229:48:229:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:230:32:230:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:230:40:230:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:231:32:231:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:231:45:231:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:232:32:232:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:232:37:232:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:233:32:233:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:233:42:233:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:234:32:234:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:234:38:234:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:235:32:235:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:235:43:235:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:236:32:236:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:236:35:236:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:237:32:237:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:237:40:237:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:238:32:238:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:238:36:238:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:239:32:239:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:239:41:239:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:240:32:240:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:240:37:240:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:241:32:241:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:241:41:241:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:242:32:242:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:242:46:242:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:243:32:243:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:243:35:243:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:244:32:244:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:244:36:244:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:245:32:245:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:245:37:245:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:246:32:246:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:246:36:246:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:247:32:247:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:247:39:247:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:248:32:248:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:248:34:248:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:252:20:252:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:252:28:252:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:252:34:252:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:252:47:252:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:253:20:253:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:253:26:253:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:253:34:253:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:253:45:253:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:254:20:254:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:254:25:254:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:254:34:254:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:254:44:254:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:255:20:255:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:255:25:255:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:255:34:255:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:255:44:255:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:256:20:256:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:256:31:256:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:256:34:256:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:256:50:256:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:257:20:257:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:257:23:257:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:257:34:257:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:257:42:257:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:258:20:258:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:258:29:258:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:258:34:258:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:258:48:258:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:265:25:265:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:265:35:265:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:265:38:265:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:265:50:265:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:268:19:268:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:269:40:269:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:269:42:269:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:270:40:270:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:270:47:270:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:271:27:271:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:271:53:271:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:273:39:273:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:273:41:273:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:274:53:274:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:274:55:274:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:280:26:280:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:314:26:314:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:314:30:314:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:319:14:319:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:319:18:319:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:336:40:336:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:336:46:336:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:358:1:358:89: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:368:44:368:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:368:50:368:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:368:53:368:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:368:56:368:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:384:28:384:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:384:29:384:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:387:59:387:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:387:65:387:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:394:54:394:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:394:60:394:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:407:69:407:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:407:75:407:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:411:44:411:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:411:48:411:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:415:51:415:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:415:55:415:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:435:27:435:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:435:34:435:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:436:14:436:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:436:31:436:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:436:36:436:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:438:27:438:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:438:34:438:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:443:24:443:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:443:29:443:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:445:12:445:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:445:19:445:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:445:20:445:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:446:10:446:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:447:10:447:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:447:39:447:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:447:40:447:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:447:41:447:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:448:10:448:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:449:10:449:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:449:38:449:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:449:39:449:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:449:40:449:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:450:10:450:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:452:23:452:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:452:32:452:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:453:26:453:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:453:46:453:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:453:47:453:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:455:23:455:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:455:31:455:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:457:29:457:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:457:48:457:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:457:49:457:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:458:34:458:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:458:42:458:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:458:43:458:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:458:49:458:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:458:50:458:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:458:53:458:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:459:27:459:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:459:33:459:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:460:35:460:35: s204 missing stylistic whitespaces
