texmf-dist/tex/luatex/luatexja/ltjarticle.cls:363:15:363:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:343:14:343:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:345:8:345:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:345:17:345:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:345:18:345:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:346:15:346:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:346:23:346:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:346:24:346:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:346:25:346:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:346:26:346:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:346:27:346:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:358:4:358:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:360:26:360:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:362:40:362:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:362:59:362:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:363:1:363:82: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:364:32:364:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:364:43:364:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:364:51:364:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:364:53:364:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:365:58:365:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:365:67:365:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:365:68:365:68: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:366:37:366:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:367:64:367:64: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:369:20:369:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:369:56:369:56: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:369:60:369:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:379:21:379:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:379:27:379:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:381:15:381:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:381:23:381:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:381:24:381:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:381:25:381:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:381:26:381:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:381:27:381:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:395:19:395:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:398:10:398:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:398:16:398:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:398:17:398:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:400:24:400:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:401:36:401:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:401:39:401:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:402:37:402:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:402:38:402:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:402:47:402:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:402:60:402:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:402:76:402:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:403:27:403:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:403:40:403:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:403:55:403:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:404:6:404:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:404:7:404:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:405:28:405:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:406:6:406:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:410:14:410:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:410:21:410:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:410:22:410:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:410:25:410:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:410:26:410:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:410:27:410:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:410:28:410:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:412:12:412:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:412:19:412:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:412:25:412:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:414:20:414:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:415:8:415:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:415:14:415:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:415:15:415:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:416:19:416:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:486:32:486:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:486:35:486:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:486:36:486:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:486:46:486:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:486:47:486:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:486:50:486:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:487:26:487:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:487:30:487:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:18:488:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:25:488:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:26:488:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:27:488:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:31:488:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:32:488:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:33:488:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:488:40:488:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:18:502:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:28:502:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:29:502:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:30:502:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:34:502:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:35:502:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:36:502:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:502:43:502:43: s204 missing stylistic whitespaces
