texmf-dist/tex/luatex/luatexja/ltjsbook.cls:751:17:751:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:712:80:712:80: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:713:31:713:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:713:44:713:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:713:59:713:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:714:10:714:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:714:11:714:11: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:715:32:715:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:716:10:716:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:720:18:720:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:720:25:720:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:720:26:720:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:720:29:720:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:720:30:720:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:720:31:720:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:720:32:720:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:722:16:722:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:722:23:722:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:722:29:722:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:724:29:724:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:725:12:725:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:725:18:725:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:725:19:725:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:729:10:729:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:729:19:729:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:729:20:729:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:730:17:730:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:730:25:730:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:730:26:730:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:730:27:730:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:730:28:730:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:730:29:730:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:741:4:741:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:743:26:743:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:745:42:745:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:745:61:745:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:746:55:746:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:747:78:747:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:750:69:750:69: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:750:73:750:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:751:1:751:84: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:766:17:766:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:766:25:766:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:766:26:766:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:766:27:766:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:766:28:766:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:766:29:766:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:778:19:778:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:781:12:781:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:781:18:781:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:781:19:781:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:783:26:783:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:784:38:784:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:784:41:784:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:785:39:785:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:785:40:785:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:785:49:785:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:785:62:785:77: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:785:78:785:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:786:29:786:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:786:42:786:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:786:57:786:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:787:8:787:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:787:9:787:9: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:788:30:788:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:789:8:789:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:793:16:793:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:793:23:793:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:793:24:793:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:793:27:793:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:793:28:793:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:793:29:793:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:793:30:793:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:795:14:795:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:795:21:795:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:795:27:795:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:797:22:797:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:798:10:798:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:798:16:798:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:798:17:798:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:805:41:805:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:805:51:805:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:805:52:805:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:805:62:805:62: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:805:63:805:63: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:805:66:805:66: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:805:67:805:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:806:22:806:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:806:29:806:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:806:30:806:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:806:47:806:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:806:48:806:48: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:807:28:807:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:807:29:807:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:808:67:808:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:26:818:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:33:818:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:34:818:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:51:818:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:52:818:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:53:818:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:60:818:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:818:61:818:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:821:46:821:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:823:1:823:88: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:828:53:828:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:828:54:828:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:828:73:828:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:1:832:102: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:24:832:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:34:832:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:35:832:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:52:832:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:53:832:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:54:832:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:58:832:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:59:832:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:60:832:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:832:93:832:93: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:25:836:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:32:836:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:33:836:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:50:836:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:51:836:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:52:836:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:57:836:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:836:58:836:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:839:46:839:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:842:38:842:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:25:845:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:35:845:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:36:845:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:53:845:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:54:845:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:55:845:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:60:845:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:845:61:845:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:847:26:847:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:847:36:847:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:848:33:848:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:848:42:848:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:848:45:848:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:854:40:854:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:854:41:854:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:854:45:854:45: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:854:49:854:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:858:33:858:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:860:28:860:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:860:29:860:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:862:4:862:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:862:5:862:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:864:4:864:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:864:6:864:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:865:28:865:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:865:29:865:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:867:4:867:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:867:5:867:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:871:19:871:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:871:20:871:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:871:35:871:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:875:4:875:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:875:6:875:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:880:18:880:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:18:1110:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:25:1110:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:26:1110:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:27:1110:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:31:1110:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:32:1110:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:33:1110:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1110:40:1110:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1124:21:1124:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1124:26:1124:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1124:27:1124:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:18:1129:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:28:1129:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:29:1129:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:30:1129:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:34:1129:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:35:1129:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:36:1129:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1129:43:1129:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1134:35:1134:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1134:38:1134:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1134:39:1134:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1134:49:1134:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1134:50:1134:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1134:53:1134:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1136:26:1136:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1136:33:1136:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1138:25:1138:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1139:30:1139:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1139:37:1139:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1139:38:1139:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1140:8:1140:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1141:32:1141:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1141:39:1141:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1141:40:1141:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1141:56:1141:56: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1141:67:1141:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1142:32:1142:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1142:39:1142:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1142:40:1142:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:18:1146:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:25:1146:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:26:1146:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:27:1146:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:34:1146:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:35:1146:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:36:1146:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1146:43:1146:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1155:48:1155:48: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1155:55:1155:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1162:37:1162:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1162:40:1162:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1162:41:1162:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1162:61:1162:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1163:37:1163:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1163:40:1163:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1163:41:1163:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1163:61:1163:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:18:1167:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:28:1167:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:29:1167:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:30:1167:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:37:1167:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:38:1167:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:39:1167:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:1167:46:1167:46: s204 missing stylistic whitespaces
