texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:31:5:31:19: w200 "do not use" argument specifiers
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:28:92:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:29:92:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:92:33:92:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:116:7:116:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:116:27:116:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:116:30:116:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:116:31:116:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:116:34:116:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:116:52:116:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:129:47:129:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:129:61:129:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:138:23:138:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:138:35:138:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:138:38:138:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:138:53:138:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:152:4:152:29: w202 deprecated control sequences
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:155:8:155:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:157:58:157:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:161:28:161:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:162:22:162:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:171:73:171:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:173:1:173:81: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:173:22:173:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:184:69:184:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:186:1:186:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:186:22:186:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:198:23:198:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:200:1:200:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:200:22:200:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:206:43:206:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:208:1:208:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:208:22:208:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:227:57:227:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:229:1:229:83: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:229:22:229:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:242:8:242:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:244:1:244:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:244:22:244:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:256:45:256:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:258:22:258:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:266:73:266:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:268:22:268:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:288:1:288:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:288:22:288:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:299:79:299:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:301:1:301:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:301:22:301:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:313:45:313:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:315:1:315:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:315:22:315:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:326:31:326:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:328:1:328:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:328:22:328:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:341:52:341:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:343:1:343:81: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:343:22:343:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:357:38:357:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:359:22:359:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:371:15:371:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:373:1:373:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:373:22:373:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:382:69:382:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:384:1:384:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:384:22:384:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:396:39:396:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:398:22:398:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:410:56:410:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:412:1:412:83: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:412:22:412:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:426:7:426:7: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:428:22:428:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:438:44:438:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:440:1:440:83: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:440:22:440:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:452:17:452:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:454:1:454:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:454:22:454:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:468:30:468:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:470:1:470:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:470:22:470:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:479:29:479:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:481:1:481:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:481:22:481:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:488:24:488:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:490:22:490:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:498:31:498:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:500:1:500:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:500:22:500:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:508:31:508:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:510:22:510:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:518:14:518:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:520:1:520:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:520:22:520:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:528:33:528:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:530:1:530:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:530:22:530:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:538:46:538:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:540:22:540:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:547:72:547:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:549:22:549:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:556:64:556:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:558:1:558:81: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:558:22:558:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:566:40:566:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:568:22:568:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:575:44:575:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:577:1:577:81: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:577:22:577:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:584:65:584:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:586:22:586:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:593:76:593:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:595:1:595:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:595:22:595:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:604:25:604:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:606:1:606:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:606:22:606:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:614:57:614:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:616:22:616:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:623:30:623:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:625:22:625:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:633:59:633:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:635:22:635:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:644:38:644:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:646:22:646:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:654:72:654:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:656:1:656:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:656:22:656:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:665:75:665:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:667:22:667:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:674:53:674:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:676:1:676:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:676:22:676:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:684:69:684:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:686:1:686:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:686:22:686:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:693:65:693:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:695:22:695:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:703:51:703:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:705:1:705:83: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:705:22:705:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:714:12:714:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:716:1:716:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:716:22:716:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:722:74:722:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:724:1:724:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:724:22:724:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:732:72:732:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:734:1:734:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:734:22:734:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:742:25:742:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:744:1:744:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:744:22:744:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:751:76:751:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:753:1:753:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:753:22:753:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:760:9:760:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:762:1:762:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:762:22:762:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:771:11:771:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:773:1:773:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:773:22:773:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:781:15:781:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:783:1:783:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:783:22:783:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:790:33:790:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:792:1:792:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:792:22:792:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:801:18:801:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:803:22:803:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:810:63:810:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:812:1:812:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:812:22:812:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:819:58:819:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:821:22:821:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:829:76:829:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:831:1:831:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:831:22:831:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:838:9:838:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:840:1:840:83: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:840:22:840:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:846:71:846:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:848:22:848:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:856:72:856:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:858:22:858:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:866:46:866:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:868:1:868:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:868:22:868:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:877:29:877:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:879:22:879:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:887:55:887:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:889:22:889:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:897:34:897:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:899:1:899:83: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:899:22:899:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:908:28:908:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:910:1:910:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:910:22:910:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:917:57:917:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:919:22:919:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:926:51:926:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:928:1:928:85: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:928:22:928:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:936:41:936:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:938:22:938:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:946:64:946:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:948:22:948:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:957:14:957:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:959:1:959:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:959:22:959:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:966:40:966:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:968:1:968:84: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:968:22:968:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:975:78:975:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:977:22:977:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:984:60:984:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:986:1:986:81: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:986:22:986:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:993:12:993:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:995:1:995:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:995:22:995:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:1004:18:1004:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:1006:1:1006:82: s103 line too long
texmf-dist/tex/latex/antanilipsum/antanilipsum.sty:1006:22:1006:22: s204 missing stylistic whitespaces
