texmf-dist/tex/latex/modernruler/modernruler.sty:183:54:183:54: e304 unexpected parameter number
texmf-dist/tex/latex/modernruler/modernruler.sty:408:22:408:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:408:23:408:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:408:26:408:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:409:26:409:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:409:53:409:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:410:12:410:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:410:20:410:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:414:1:427:1: w429 defined an unexpandable function as unprotected
texmf-dist/tex/latex/modernruler/modernruler.sty:439:1:446:4: w429 defined an unexpandable function as unprotected
texmf-dist/tex/latex/modernruler/modernruler.sty:449:1:449:70: w401 unused private function
texmf-dist/tex/latex/modernruler/modernruler.sty:449:1:449:70: w401 unused private function
texmf-dist/tex/latex/modernruler/modernruler.sty:449:1:449:70: w401 unused private function
texmf-dist/tex/latex/modernruler/modernruler.sty:464:1:464:85: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:466:1:466:94: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:469:1:469:107: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:479:1:479:93: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:488:1:488:95: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:489:1:489:95: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:505:1:505:81: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:509:1:509:84: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:514:1:514:86: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:526:1:526:93: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:550:42:550:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:550:46:550:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:550:50:550:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:550:54:550:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:550:58:550:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:550:62:550:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:557:16:557:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:557:20:557:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:557:24:557:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:557:28:557:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:557:32:557:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:557:36:557:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/modernruler/modernruler.sty:582:1:644:4: w429 defined an unexpandable function as unprotected
texmf-dist/tex/latex/modernruler/modernruler.sty:604:1:604:87: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:606:1:606:93: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:614:1:614:86: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:627:1:627:88: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:628:1:628:88: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:631:1:631:94: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:632:1:632:90: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:633:1:633:90: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:659:1:659:81: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:691:1:691:87: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:708:1:708:92: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:709:1:709:90: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:715:1:715:84: s103 line too long
texmf-dist/tex/latex/modernruler/modernruler.sty:717:1:717:88: s103 line too long
