texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:27:1:27:13: w101 unexpected delimiters
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:31:110:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:32:110:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:61:110:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:62:110:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:63:110:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:64:110:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:93:110:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:111:1:111:86: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:111:31:111:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:111:56:111:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:111:57:111:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:111:86:111:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:112:1:112:89: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:112:31:112:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:112:56:112:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:112:57:112:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:112:86:112:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:113:1:113:87: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:113:32:113:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:113:57:113:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:113:58:113:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:113:59:113:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:113:84:113:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:118:40:118:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:118:64:118:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:119:40:119:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:119:64:119:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:121:1:121:83: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:121:25:121:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:121:53:121:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:121:54:121:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:121:55:121:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:121:83:121:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:122:1:122:83: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:122:25:122:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:122:53:122:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:122:54:122:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:122:55:122:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:122:83:122:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:127:51:127:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:127:73:127:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:128:27:128:37: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:128:41:128:41: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:130:1:130:97: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:130:40:130:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:130:67:130:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:130:68:130:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:130:69:130:95: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:130:96:130:96: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:130:97:130:97: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:131:1:131:93: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:131:40:131:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:131:65:131:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:131:66:131:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:131:67:131:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:131:92:131:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:131:93:131:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:1:132:146: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:39:132:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:63:132:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:64:132:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:91:132:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:92:132:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:93:132:116: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:117:132:117: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:118:132:144: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:145:132:145: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:132:146:132:146: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:133:1:133:93: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:133:40:133:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:133:65:133:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:133:66:133:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:133:67:133:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:133:92:133:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:133:93:133:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:135:27:135:37: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:135:41:135:41: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:1:137:121: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:39:137:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:66:137:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:67:137:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:68:137:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:92:137:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:93:137:119: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:120:137:120: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:137:121:137:121: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:138:1:138:93: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:138:40:138:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:138:65:138:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:138:66:138:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:138:67:138:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:138:92:138:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:138:93:138:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:1:139:121: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:39:139:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:63:139:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:64:139:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:91:139:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:92:139:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:93:139:119: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:120:139:120: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:139:121:139:121: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:140:1:140:93: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:140:40:140:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:140:65:140:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:140:66:140:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:140:67:140:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:140:92:140:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:140:93:140:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:142:46:142:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:142:70:142:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:142:76:142:76: w302 unbraced n-type function call argument
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:144:25:144:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:144:29:144:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:147:30:147:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:147:59:147:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:148:25:148:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:148:29:148:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:157:15:157:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:157:16:157:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:157:27:157:27: s204 missing stylistic whitespaces
