texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:97:61:97:61: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:97:64:97:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:97:65:97:65: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:98:60:98:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:98:61:98:61: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:98:64:98:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:98:65:98:65: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:100:64:100:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:100:65:100:65: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:100:68:100:68: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:100:69:100:69: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:102:64:102:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:102:65:102:65: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:102:68:102:68: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:102:69:102:69: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:104:64:104:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:104:65:104:65: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:104:68:104:68: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:104:69:104:69: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:106:64:106:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:106:65:106:65: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:106:68:106:68: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:106:69:106:69: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:112:49:112:49: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:112:50:112:50: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:112:62:112:62: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:112:63:112:63: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:113:22:113:22: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:113:31:113:31: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:116:29:116:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:116:38:116:38: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:117:30:117:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:117:45:117:45: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:121:39:121:39: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:121:40:121:40: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:121:47:121:47: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:122:28:122:28: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:122:45:122:45: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:123:30:123:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:123:35:123:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:30:127:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:33:127:33: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:34:127:34: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:35:127:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:42:127:42: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:43:127:43: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:44:127:44: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:127:56:127:56: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:135:60:135:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:135:61:135:61: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:137:32:137:32: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:137:33:137:33: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:144:62:144:62: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:144:63:144:63: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:145:62:145:62: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:145:63:145:63: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:156:55:156:55: s204 missing stylistic whitespaces
