texmf-dist/tex/latex/lambdax/lambdax.sty:22:1:22:13: w101 unexpected delimiters
texmf-dist/tex/latex/lambdax/lambdax.sty:56:19:56:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:56:23:56:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:56:27:56:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:59:24:59:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:61:5:63:23: w426 incorrect number of arguments supplied to message
texmf-dist/tex/latex/lambdax/lambdax.sty:61:19:61:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:61:20:61:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:61:29:61:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:62:6:62:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:62:16:62:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:63:6:63:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:63:21:63:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:65:1:65:19: w415 unused variable or constant
texmf-dist/tex/latex/lambdax/lambdax.sty:66:4:66:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:66:26:66:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:67:4:67:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:67:28:67:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:68:4:68:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:68:30:68:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:69:4:69:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:69:30:69:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:70:1:71:21: w401 unused private function
texmf-dist/tex/latex/lambdax/lambdax.sty:71:22:71:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:71:23:71:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:71:27:71:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:71:49:71:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:71:51:71:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:72:11:72:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:72:35:72:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:73:1:73:52: w402 unused private function variant
texmf-dist/tex/latex/lambdax/lambdax.sty:73:24:73:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:73:48:73:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:73:49:73:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:73:52:73:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:11:74:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:31:74:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:32:74:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:49:74:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:50:74:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:57:74:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:58:74:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:74:62:74:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:11:75:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:37:75:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:38:75:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:49:75:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:50:75:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:70:75:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:74:75:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:75:75:75:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:1:76:84: s103 line too long
texmf-dist/tex/latex/lambdax/lambdax.sty:76:11:76:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:38:76:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:39:76:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:50:76:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:51:76:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:77:76:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:81:76:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:83:76:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:76:84:76:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:77:11:77:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:78:2:78:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:79:4:79:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:79:31:79:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:79:35:79:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:79:36:79:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:81:2:81:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:85:20:85:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:86:1:86:45: w402 unused private function variant
texmf-dist/tex/latex/lambdax/lambdax.sty:86:24:86:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:86:43:86:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:86:44:86:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:86:45:86:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:90:3:90:21: w416 setting an undeclared variable
texmf-dist/tex/latex/lambdax/lambdax.sty:91:4:91:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:91:17:91:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:95:4:95:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:95:14:95:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:97:6:97:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:97:36:97:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:97:40:97:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:98:6:98:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:98:16:98:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:98:39:98:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:98:40:98:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:99:26:99:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:103:3:103:13: s412 malformed function name
texmf-dist/tex/latex/lambdax/lambdax.sty:105:10:105:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:107:3:107:14: s412 malformed function name
texmf-dist/tex/latex/lambdax/lambdax.sty:109:10:109:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:109:15:109:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:113:9:113:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:113:10:113:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:113:11:113:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:117:24:117:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:117:47:117:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:117:48:117:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:117:49:117:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:118:16:118:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:120:34:120:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:121:6:121:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:121:29:121:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:123:70:123:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:127:19:127:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:127:32:127:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:130:21:130:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lambdax/lambdax.sty:130:30:130:30: s204 missing stylistic whitespaces
