texmf-dist/tex/latex/nicetext/niceverb.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/nicetext/niceverb.sty:170:32:170:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:170:33:170:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:172:27:172:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:172:31:172:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:175:5:175:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:175:20:175:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:190:13:190:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:190:39:190:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:190:42:190:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:190:43:190:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:191:40:191:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:191:41:191:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:197:13:197:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:197:35:197:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:197:38:197:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:197:39:197:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:206:13:206:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:206:14:206:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:206:29:206:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:206:30:206:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:206:31:206:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:211:12:211:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:214:13:214:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:214:34:214:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:214:35:214:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:215:12:215:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:227:13:227:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:227:34:227:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:227:39:227:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:227:56:227:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:254:13:254:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:254:21:254:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:254:22:254:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:255:13:255:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:257:13:257:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:257:25:257:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:257:26:257:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:258:13:258:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:259:7:259:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:282:13:282:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:282:33:282:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:282:37:282:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:282:60:282:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:282:61:282:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:282:62:282:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:325:13:325:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:325:14:325:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:325:37:325:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:325:38:325:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:325:39:325:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:352:15:352:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:352:24:352:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:352:25:352:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:355:20:355:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:355:35:355:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:358:13:358:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:358:14:358:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:358:29:358:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:358:30:358:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:358:31:358:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:365:15:365:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:365:43:365:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:366:13:366:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:366:14:366:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:366:31:366:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:366:32:366:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:366:33:366:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:367:7:367:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:390:13:390:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:390:14:390:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:390:34:390:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:390:35:390:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:390:38:390:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:390:39:390:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:391:15:391:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:391:43:391:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:396:15:396:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:396:31:396:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:396:32:396:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:397:20:397:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:410:6:410:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:410:27:410:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:415:13:415:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:415:14:415:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:415:30:415:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:415:31:415:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:415:34:415:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:415:35:415:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:416:22:416:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:416:42:416:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:427:23:427:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:427:28:427:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:427:31:427:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:427:32:427:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:431:13:431:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:431:14:431:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:431:29:431:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:431:30:431:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:442:23:442:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:442:30:442:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:442:33:442:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:442:34:442:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:446:15:446:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:446:35:446:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:447:13:447:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:447:14:447:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:447:23:447:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:447:24:447:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:447:25:447:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:448:18:448:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:450:13:450:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:450:14:450:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:450:29:450:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:450:30:450:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:450:41:450:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:450:64:450:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:451:13:451:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:451:14:451:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:451:26:451:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:451:27:451:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:451:28:451:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:452:28:452:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:453:21:453:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:453:22:453:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:454:21:454:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:454:22:454:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:459:13:459:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:459:14:459:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:459:30:459:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:459:31:459:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:459:34:459:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:459:35:459:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:460:7:460:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:460:17:460:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:460:19:460:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:460:35:460:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:464:5:464:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:464:21:464:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:465:5:465:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:465:17:465:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:465:38:465:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:465:53:465:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:466:5:466:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:466:19:466:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:466:23:466:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:466:24:466:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:466:28:466:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:466:43:466:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:467:5:467:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:467:15:467:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:467:16:467:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:467:17:467:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:467:18:467:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:467:33:467:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:479:23:479:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:479:39:479:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:479:40:479:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:480:13:480:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:480:43:480:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:481:13:481:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:481:14:481:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:481:33:481:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:481:34:481:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:481:35:481:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:482:7:482:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:487:13:487:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:487:14:487:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:487:36:487:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:487:37:487:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:487:40:487:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:487:41:487:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:488:8:488:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:488:21:488:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:488:32:488:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:493:8:493:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:493:28:493:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:493:44:493:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:495:16:495:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:496:13:496:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:496:14:496:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:496:27:496:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:496:28:496:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:496:29:496:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:497:13:497:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:497:39:497:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:498:13:498:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:498:14:498:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:498:29:498:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:498:30:498:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:498:31:498:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:499:18:499:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:505:15:505:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:512:54:512:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:517:38:517:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:525:13:525:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:525:14:525:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:525:24:525:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:525:25:525:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:525:28:525:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:525:29:525:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:526:8:526:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:526:21:526:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:526:22:526:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:526:35:526:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:526:38:526:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:526:51:526:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:530:13:530:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:530:33:530:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:530:34:530:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:532:13:532:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:532:36:532:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:535:13:535:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:535:29:535:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:548:13:548:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:548:34:548:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:548:35:548:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:553:17:553:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:553:30:553:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:553:33:553:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:553:34:553:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:554:55:554:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:557:13:557:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:557:31:557:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:561:13:561:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:561:28:561:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:561:31:561:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:561:32:561:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:563:52:563:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:566:17:566:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:576:13:576:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:576:23:576:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:578:18:578:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:578:19:578:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:579:53:579:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:579:54:579:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:585:13:585:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:585:24:585:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:585:27:585:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:585:28:585:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:585:37:585:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/niceverb.sty:608:15:608:15: s204 missing stylistic whitespaces
