texmf-dist/tex/luatex/luatexja/ltjtreport.cls:388:15:388:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:607:27:607:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:607:53:607:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:608:54:608:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:608:61:608:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:614:37:614:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:614:40:614:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:614:41:614:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:614:61:614:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:615:37:615:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:615:40:615:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:615:41:615:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:615:61:615:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:18:619:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:28:619:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:29:619:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:30:619:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:37:619:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:38:619:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:39:619:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:619:43:619:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:625:28:625:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:625:45:625:45: s204 missing stylistic whitespaces
