texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:71:45:71:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:71:50:71:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:71:58:71:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:71:67:71:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:71:68:71:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:71:69:71:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:1:72:82: s103 line too long
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:35:72:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:44:72:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:45:72:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:50:72:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:65:72:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:71:72:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:80:72:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:81:72:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:72:82:72:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:75:44:75:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:75:49:75:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:75:68:75:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:77:45:77:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:77:50:77:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:77:70:77:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:79:47:79:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:79:50:79:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:79:70:79:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:82:39:82:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:82:42:82:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:83:51:83:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:83:55:83:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:84:48:84:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:85:34:85:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:86:24:86:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:86:67:86:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:87:6:87:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:88:34:88:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:88:39:88:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:88:40:88:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:89:39:89:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:90:56:90:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:91:39:91:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:92:53:92:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:93:48:93:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:94:34:94:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:95:24:95:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:95:67:95:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:96:6:96:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:97:34:97:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:97:39:97:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:97:40:97:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:98:39:98:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:99:45:99:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:100:39:100:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:101:53:101:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:102:48:102:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:103:34:103:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:104:24:104:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:105:26:105:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:106:46:106:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:107:46:107:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:109:6:109:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:110:53:110:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:115:1:115:83: s103 line too long
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:116:52:116:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:116:53:116:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:116:56:116:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:116:57:116:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:116:58:116:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:116:69:116:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:116:70:116:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:117:54:117:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:117:58:117:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:117:62:117:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:117:66:117:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:117:70:117:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:117:74:117:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:118:48:118:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:118:49:118:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:119:34:119:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:120:1:120:81: s103 line too long
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:120:24:120:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:120:67:120:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:121:6:121:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:122:34:122:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:122:38:122:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:122:39:122:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:123:53:123:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:123:57:123:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:123:58:123:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:124:38:124:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:125:49:125:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:125:54:125:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:125:55:125:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:126:36:126:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:127:39:127:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:128:53:128:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:129:48:129:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:129:49:129:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:130:34:130:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:131:1:131:83: s103 line too long
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:131:24:131:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:131:67:131:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:132:6:132:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:133:34:133:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:135:24:135:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:135:42:135:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:136:40:136:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:138:6:138:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:139:53:139:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:140:48:140:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:140:49:140:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:141:34:141:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:142:1:142:83: s103 line too long
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:142:24:142:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:142:67:142:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:143:6:143:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:144:34:144:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:144:38:144:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:144:39:144:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:145:53:145:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:145:62:145:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:145:63:145:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:146:38:146:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:147:49:147:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:147:58:147:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:147:59:147:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:148:36:148:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:149:39:149:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:150:53:150:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:151:48:151:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:151:49:151:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:152:34:152:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:153:1:153:85: s103 line too long
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:153:24:153:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:153:67:153:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:154:6:154:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:155:34:155:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:157:24:157:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:157:42:157:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:158:40:158:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:160:6:160:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:161:53:161:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:162:48:162:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:163:34:163:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:164:24:164:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:165:46:165:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:167:30:167:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:168:50:168:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:169:50:169:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:171:6:171:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:172:53:172:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:178:28:178:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:178:31:178:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:178:32:178:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:179:40:179:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:179:44:179:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:179:48:179:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:179:52:179:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:180:48:180:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:180:49:180:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:181:31:181:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:28:182:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:36:182:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:44:182:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:45:182:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:46:182:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:52:182:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:60:182:60: s204 missing stylistic whitespaces
