texmf-dist/tex/latex/nwejm/nwejmart.cls:465:37:465:37: e300 unexpected function call argument
texmf-dist/tex/latex/nwejm/nwejmart.cls:467:59:467:59: e300 unexpected function call argument
texmf-dist/tex/latex/nwejm/nwejmart.cls:24:1:24:13: w101 unexpected delimiters
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:52:40:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:53:40:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:40:54:40:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:41:5:41:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:41:14:41:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:41:41:41:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:42:48:42:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:42:49:42:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:14:43:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:15:43:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:23:43:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:24:43:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:25:43:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:39:43:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:40:43:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:41:43:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:43:61:43:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:44:2:44:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:44:23:44:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:44:24:44:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:13:45:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:14:45:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:22:45:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:23:45:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:24:45:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:35:45:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:36:45:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:45:37:45:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:46:45:46:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:46:46:46:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:13:47:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:14:47:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:22:47:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:23:47:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:24:47:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:40:47:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:41:47:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:47:42:47:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:49:64:49:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:49:65:49:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:13:50:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:14:50:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:22:50:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:23:50:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:24:50:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:34:50:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:35:50:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:50:36:50:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:51:17:51:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:51:18:51:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:13:52:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:14:52:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:22:52:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:23:52:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:24:52:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:30:52:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:31:52:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:52:32:52:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:53:54:53:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:53:55:53:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:13:54:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:14:54:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:22:54:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:23:54:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:24:54:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:35:54:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:36:54:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:54:37:54:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:55:17:55:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:55:18:55:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:13:56:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:14:56:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:22:56:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:23:56:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:24:56:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:48:56:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:49:56:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:56:50:56:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:58:21:58:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:58:22:58:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:59:13:59:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:61:2:61:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:61:3:61:3: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:61:55:61:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:61:56:61:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:61:57:61:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:62:57:62:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:62:58:62:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:13:63:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:14:63:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:22:63:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:23:63:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:24:63:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:52:63:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:53:63:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:63:54:63:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:66:32:66:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:66:33:66:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:67:13:67:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:69:2:69:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:69:3:69:3: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:69:28:69:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:69:29:69:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:69:30:69:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:71:30:71:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:71:31:71:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:13:72:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:14:72:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:22:72:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:23:72:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:24:72:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:63:72:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:64:72:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:72:65:72:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:75:59:75:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:75:60:75:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:14:76:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:15:76:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:23:76:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:24:76:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:25:76:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:58:76:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:59:76:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:76:60:76:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:77:41:77:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:77:59:77:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:78:1:78:83: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:78:41:78:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:78:68:78:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:80:1:80:83: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:80:25:80:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:80:52:80:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:81:1:81:81: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:81:33:81:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:81:59:81:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:82:5:82:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:82:32:82:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:83:21:83:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:83:22:83:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:84:43:84:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:88:54:88:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:89:25:89:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:89:33:89:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:89:34:89:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:89:39:89:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:90:28:90:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:90:29:90:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:90:37:90:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:91:14:91:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:91:34:91:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:91:35:91:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:91:36:91:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:92:27:92:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:92:28:92:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:92:33:92:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:95:14:95:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:95:31:95:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:95:32:95:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:95:33:95:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:102:19:102:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:103:25:103:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:103:29:103:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:103:30:103:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:103:31:103:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:103:35:103:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:105:19:105:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:106:25:106:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:106:29:106:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:106:30:106:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:106:31:106:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:106:35:106:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:108:19:108:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:109:25:109:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:109:29:109:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:109:30:109:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:109:31:109:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:109:35:109:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:111:20:111:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:112:25:112:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:112:30:112:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:112:31:112:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:112:32:112:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:112:36:112:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:115:26:115:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:115:33:115:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:118:26:118:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:118:32:118:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:121:26:121:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:121:33:121:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:124:26:124:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:124:33:124:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:127:26:127:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:127:31:127:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:136:2:136:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:139:23:139:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:139:29:139:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:139:30:139:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:139:31:139:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:139:40:139:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:139:41:139:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:140:23:140:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:140:28:140:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:140:29:140:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:140:30:140:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:140:37:140:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:140:38:140:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:141:1:141:81: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:141:23:141:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:141:71:141:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:141:72:141:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:141:73:141:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:141:81:141:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:142:13:142:13: w303 braced N-type function call argument
texmf-dist/tex/latex/nwejm/nwejmart.cls:142:14:142:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:142:47:142:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:143:24:143:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:143:31:143:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:145:33:145:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:145:34:145:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:145:37:145:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:146:17:146:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:146:26:146:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:149:22:149:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:149:23:149:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:149:30:149:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:150:30:150:30: s204 missing stylistic whitespaces
