texmf-dist/tex/luatex/luatexja/ltjsreport.cls:723:17:723:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:692:30:692:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:692:31:692:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:692:32:692:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:694:16:694:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:694:23:694:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:694:29:694:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:696:29:696:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:697:12:697:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:697:18:697:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:697:19:697:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:701:10:701:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:701:19:701:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:701:20:701:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:702:17:702:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:702:25:702:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:702:26:702:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:702:27:702:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:702:28:702:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:702:29:702:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:713:4:713:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:715:26:715:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:717:42:717:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:717:61:717:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:718:55:718:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:719:78:719:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:722:69:722:69: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:722:73:722:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:723:1:723:84: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:738:17:738:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:738:25:738:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:738:26:738:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:738:27:738:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:738:28:738:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:738:29:738:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:750:19:750:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:753:12:753:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:753:18:753:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:753:19:753:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:755:26:755:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:756:38:756:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:756:41:756:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:757:39:757:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:757:40:757:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:757:49:757:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:757:62:757:77: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:757:78:757:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:758:29:758:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:758:42:758:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:758:57:758:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:759:8:759:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:759:9:759:9: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:760:30:760:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:761:8:761:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:765:16:765:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:765:23:765:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:765:24:765:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:765:27:765:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:765:28:765:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:765:29:765:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:765:30:765:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:767:14:767:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:767:21:767:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:767:27:767:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:769:22:769:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:770:10:770:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:770:16:770:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:770:17:770:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:778:41:778:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:778:51:778:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:778:52:778:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:778:62:778:62: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:778:63:778:63: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:778:66:778:66: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:778:67:778:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:779:22:779:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:779:29:779:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:779:30:779:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:779:47:779:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:779:48:779:48: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:780:28:780:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:780:29:780:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:781:67:781:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:26:791:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:33:791:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:34:791:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:51:791:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:52:791:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:53:791:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:60:791:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:791:61:791:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:794:46:794:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:796:1:796:88: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:801:53:801:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:801:54:801:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:801:73:801:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:1:805:102: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:24:805:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:34:805:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:35:805:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:52:805:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:53:805:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:54:805:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:58:805:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:59:805:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:60:805:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:805:93:805:93: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:25:809:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:32:809:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:33:809:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:50:809:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:51:809:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:52:809:52: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:57:809:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:809:58:809:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:812:46:812:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:815:38:815:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:25:818:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:35:818:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:36:818:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:53:818:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:54:818:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:55:818:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:60:818:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:818:61:818:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:820:26:820:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:820:36:820:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:821:33:821:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:821:42:821:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:821:45:821:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:827:40:827:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:827:41:827:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:827:45:827:45: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:827:49:827:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:831:33:831:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:833:28:833:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:833:29:833:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:835:4:835:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:835:5:835:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:837:4:837:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:837:6:837:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:838:28:838:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:838:29:838:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:840:4:840:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:840:5:840:5: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:844:19:844:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:844:20:844:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:844:35:844:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:848:4:848:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:848:6:848:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:853:18:853:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:18:1062:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:25:1062:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:26:1062:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:27:1062:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:31:1062:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:32:1062:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:33:1062:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1062:40:1062:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1076:21:1076:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1076:26:1076:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1076:27:1076:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:18:1081:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:28:1081:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:29:1081:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:30:1081:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:34:1081:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:35:1081:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:36:1081:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1081:43:1081:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1086:35:1086:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1086:38:1086:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1086:39:1086:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1086:49:1086:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1086:50:1086:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1086:53:1086:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1087:26:1087:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1087:33:1087:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:18:1089:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:25:1089:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:26:1089:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:27:1089:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:34:1089:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:35:1089:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:36:1089:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1089:43:1089:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1098:48:1098:48: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1098:55:1098:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1105:37:1105:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1105:40:1105:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1105:41:1105:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1105:61:1105:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1106:37:1106:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1106:40:1106:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1106:41:1106:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1106:61:1106:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:18:1110:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:28:1110:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:29:1110:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:30:1110:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:37:1110:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:38:1110:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:39:1110:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:1110:46:1110:46: s204 missing stylistic whitespaces
