texmf-dist/tex/latex/econlipsum/econlipsum.sty:31:5:31:19: w200 "do not use" argument specifiers
texmf-dist/tex/latex/econlipsum/econlipsum.sty:962:20:962:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:974:48:974:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:976:1:976:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:976:20:976:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:987:13:987:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:989:20:989:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1015:8:1015:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1017:20:1017:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1031:59:1031:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1033:20:1033:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1045:78:1045:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1047:1:1047:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1047:20:1047:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1068:80:1068:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1070:1:1070:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1070:20:1070:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1080:73:1080:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1082:1:1082:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1082:20:1082:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1090:66:1090:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1092:1:1092:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1092:20:1092:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1115:23:1115:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1117:20:1117:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1130:57:1130:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1132:20:1132:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1147:63:1147:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1149:1:1149:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1149:20:1149:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1161:65:1161:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1163:20:1163:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1173:48:1173:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1175:1:1175:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1175:20:1175:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1190:53:1190:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1192:20:1192:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1202:46:1202:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1204:20:1204:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1227:76:1227:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1229:20:1229:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1243:24:1243:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1245:1:1245:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1245:20:1245:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1265:15:1265:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1267:20:1267:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1287:50:1287:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1289:20:1289:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1308:25:1308:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1310:20:1310:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1327:60:1327:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1329:1:1329:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1329:20:1329:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1341:30:1341:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1343:1:1343:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1343:20:1343:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1362:43:1362:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1364:1:1364:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1364:20:1364:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1382:36:1382:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1384:20:1384:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1396:14:1396:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1398:1:1398:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1398:20:1398:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1413:55:1413:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1415:1:1415:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1415:20:1415:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1430:17:1430:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1432:1:1432:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1432:20:1432:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1441:43:1441:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1443:20:1443:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1453:23:1453:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1455:1:1455:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1455:20:1455:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1466:26:1466:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1468:20:1468:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1488:36:1488:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1490:1:1490:83: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1490:20:1490:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1507:31:1507:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1509:1:1509:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1509:20:1509:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1520:11:1520:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1522:20:1522:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1533:13:1533:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1535:20:1535:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1553:46:1553:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1555:20:1555:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1569:22:1569:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1571:20:1571:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1593:60:1593:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1595:1:1595:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1595:20:1595:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1617:11:1617:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1619:1:1619:81: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1619:20:1619:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1637:51:1637:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1639:1:1639:82: s103 line too long
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1639:20:1639:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1651:28:1651:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1653:20:1653:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1671:29:1671:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1673:20:1673:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1689:77:1689:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1691:20:1691:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1710:40:1710:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/econlipsum/econlipsum.sty:1712:20:1712:20: s204 missing stylistic whitespaces
