texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:110:36:110:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:110:39:110:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:110:59:110:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:114:40:114:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:114:43:114:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:115:44:115:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:115:47:115:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:125:46:125:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:125:47:125:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:134:1:134:85: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:135:68:135:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:135:69:135:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:144:39:144:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:144:41:144:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:146:40:146:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:146:41:146:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:147:48:147:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:147:51:147:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:148:42:148:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:148:43:148:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:149:48:149:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:149:51:149:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:153:27:153:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:153:35:153:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:163:25:163:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:163:35:163:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:169:25:169:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:169:35:169:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:169:38:169:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:169:52:169:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:172:40:172:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:172:42:172:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:172:44:172:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:172:45:172:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:175:47:175:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:175:56:175:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:175:59:175:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.external.code.tex:175:62:175:62: s204 missing stylistic whitespaces
