texmf-dist/tex/luatex/luatexja/ltjtbook.cls:400:15:400:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:418:24:418:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:418:25:418:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:418:26:418:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:418:27:418:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:432:19:432:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:435:10:435:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:435:16:435:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:435:17:435:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:437:24:437:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:438:36:438:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:438:39:438:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:439:37:439:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:439:38:439:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:439:47:439:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:439:60:439:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:439:76:439:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:440:27:440:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:440:40:440:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:440:55:440:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:441:6:441:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:441:7:441:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:442:28:442:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:443:6:443:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:447:14:447:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:447:21:447:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:447:22:447:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:447:25:447:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:447:26:447:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:447:27:447:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:447:28:447:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:449:12:449:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:449:19:449:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:449:25:449:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:451:20:451:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:452:8:452:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:452:14:452:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:452:15:452:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:453:19:453:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:18:577:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:25:577:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:26:577:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:27:577:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:31:577:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:32:577:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:33:577:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:577:40:577:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:591:21:591:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:591:26:591:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:591:27:591:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:18:596:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:28:596:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:29:596:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:30:596:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:34:596:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:35:596:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:36:596:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:596:43:596:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:600:35:600:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:600:38:600:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:600:39:600:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:600:49:600:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:600:50:600:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:600:53:600:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:602:26:602:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:602:33:602:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:604:25:604:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:605:30:605:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:605:37:605:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:605:38:605:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:606:8:606:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:607:32:607:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:607:39:607:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:607:40:607:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:607:56:607:56: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:607:67:607:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:608:32:608:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:608:39:608:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:608:40:608:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:18:612:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:25:612:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:26:612:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:27:612:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:34:612:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:35:612:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:36:612:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:612:43:612:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:620:21:620:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:620:27:620:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:620:53:620:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:621:54:621:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:621:61:621:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:627:37:627:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:627:40:627:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:627:41:627:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:627:61:627:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:628:37:628:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:628:40:628:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:628:41:628:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:628:61:628:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:18:632:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:28:632:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:29:632:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:30:632:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:37:632:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:38:632:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:39:632:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:632:43:632:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:638:28:638:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:638:45:638:45: s204 missing stylistic whitespaces
