texmf-dist/tex/latex/cnltx/cnltx-base.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/cnltx/cnltx-base.sty:113:36:113:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:113:43:113:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:114:30:114:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:114:34:114:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:114:35:114:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:114:36:114:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:114:49:114:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:115:30:115:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:115:34:115:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:115:35:115:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:115:36:115:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:115:40:115:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:119:36:119:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:119:53:119:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:119:75:119:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:119:76:119:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:120:37:120:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:120:69:120:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:120:73:120:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:122:40:122:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:122:41:122:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:123:21:123:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:123:60:123:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:123:61:123:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:123:62:123:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:128:26:128:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:128:37:128:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:128:43:128:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:128:44:128:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:128:48:128:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:133:13:133:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:133:23:133:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:134:13:134:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:134:23:134:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:135:13:135:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:135:23:135:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:147:20:147:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:147:42:147:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:149:38:149:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:149:39:149:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:150:46:150:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:152:37:152:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:152:38:152:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:153:11:153:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:153:28:153:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:153:45:153:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:156:41:156:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:156:42:156:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:157:49:157:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:159:40:159:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:159:41:159:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:161:12:161:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:161:29:161:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:164:37:164:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:164:38:164:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:165:46:165:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:165:47:165:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:165:51:165:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:167:36:167:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:167:37:167:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:171:36:171:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:171:59:171:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:171:60:171:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:171:62:171:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:171:63:171:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:172:35:172:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:172:58:172:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:172:59:172:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:172:61:172:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:172:62:172:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:173:36:173:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:173:59:173:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:173:60:173:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:173:62:173:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:173:63:173:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:178:34:178:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:178:35:178:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:181:31:181:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:181:32:181:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:187:24:187:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:187:25:187:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:190:29:190:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:190:30:190:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:192:26:192:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:192:27:192:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:193:27:193:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:193:28:193:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:199:22:199:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:199:23:199:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:207:23:207:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:207:24:207:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:215:32:215:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:215:33:215:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:217:20:217:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:217:25:217:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:218:20:218:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:218:26:218:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:219:20:219:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:219:25:219:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:220:20:220:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:220:26:220:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:221:4:221:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:224:30:224:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:224:62:224:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:224:63:224:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:225:40:225:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:225:41:225:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:225:42:225:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:226:40:226:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:226:41:226:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:226:42:226:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:229:34:229:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:230:37:230:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:244:30:244:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:244:31:244:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:250:31:250:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:250:32:250:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:250:50:250:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:251:32:251:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:251:33:251:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:251:56:251:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:251:60:251:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:251:64:251:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:252:29:252:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:252:65:252:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:262:35:262:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:262:36:262:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:263:27:263:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:266:51:266:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:266:55:266:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:266:56:266:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:270:35:270:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:270:36:270:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:271:24:271:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:273:32:273:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:273:36:273:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:273:38:273:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:274:32:274:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:274:36:274:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:274:37:274:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:277:39:277:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:277:40:277:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:278:15:278:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:278:19:278:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:278:20:278:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:279:18:279:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:281:11:281:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:282:6:282:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:287:32:287:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:287:33:287:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:288:36:288:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:288:37:288:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:288:53:288:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:288:54:288:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:296:10:296:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:296:22:296:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:297:37:297:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:297:38:297:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:298:14:298:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:299:16:299:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:299:28:299:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:299:29:299:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:300:21:300:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:301:18:301:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:301:30:301:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:302:9:302:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:303:4:303:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:304:9:304:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:305:11:305:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:305:23:305:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:307:9:307:9: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:321:64:321:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:321:65:321:65: s204 missing stylistic whitespaces
