texmf-dist/tex/latex/panda/BusyPanda.sty:29:19:29:39: s412 malformed function name
texmf-dist/tex/latex/panda/BusyPanda.sty:76:22:76:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:77:10:77:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:77:19:77:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:77:20:77:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:77:21:77:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:77:27:77:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:78:10:78:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:78:29:78:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:78:30:78:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:78:31:78:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:78:38:78:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:79:10:79:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:79:23:79:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:79:24:79:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:79:25:79:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:79:32:79:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:80:10:80:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:80:13:80:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:80:14:80:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:80:15:80:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:80:22:80:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:81:10:81:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:81:14:81:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:81:15:81:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:81:16:81:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:81:24:81:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:82:10:82:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:82:15:82:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:82:16:82:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:82:17:82:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:82:24:82:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:83:10:83:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:83:14:83:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:83:15:83:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:83:16:83:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:83:23:83:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:84:10:84:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:84:14:84:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:84:15:84:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:84:16:84:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:84:23:84:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:85:10:85:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:85:14:85:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:85:15:85:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:85:16:85:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:85:23:85:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:86:10:86:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:86:14:86:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:86:15:86:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:86:16:86:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:86:23:86:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:87:10:87:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:87:14:87:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:87:15:87:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:87:16:87:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:87:24:87:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:88:10:88:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:88:14:88:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:88:15:88:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:88:16:88:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:88:24:88:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:89:10:89:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:89:13:89:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:89:14:89:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:89:15:89:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:89:22:89:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:90:10:90:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:90:14:90:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:90:15:90:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:90:16:90:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:90:23:90:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:91:10:91:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:91:14:91:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:91:15:91:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:91:16:91:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:91:23:91:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:92:10:92:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:92:15:92:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:92:16:92:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:92:17:92:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:92:24:92:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:93:10:93:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:93:19:93:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:93:20:93:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:93:21:93:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:93:28:93:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:94:10:94:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:94:18:94:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:94:19:94:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:94:20:94:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:94:27:94:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:95:10:95:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:95:16:95:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:95:17:95:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:95:18:95:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:95:25:95:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:96:10:96:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:96:24:96:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:96:25:96:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:96:26:96:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:96:33:96:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:97:10:97:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:97:28:97:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:97:29:97:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:97:30:97:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:97:37:97:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:98:10:98:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:98:25:98:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:98:26:98:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:98:27:98:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:98:34:98:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:99:10:99:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:99:19:99:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:99:20:99:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:99:21:99:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:99:28:99:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:100:10:100:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:100:23:100:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:100:24:100:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:100:25:100:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:100:32:100:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:101:10:101:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:101:20:101:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:101:21:101:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:101:22:101:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:101:28:101:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:102:10:102:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:102:24:102:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:102:25:102:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:102:26:102:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:102:33:102:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:103:10:103:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:103:21:103:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:103:22:103:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:103:23:103:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:103:30:103:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:104:10:104:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:104:13:104:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:104:14:104:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:104:15:104:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:104:22:104:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:105:10:105:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:105:16:105:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:105:17:105:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:105:18:105:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:105:25:105:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:106:10:106:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:106:22:106:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:106:23:106:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:106:24:106:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:106:31:106:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:107:10:107:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:107:13:107:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:107:14:107:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:107:15:107:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:107:22:107:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:108:10:108:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:108:13:108:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:108:14:108:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:108:15:108:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:108:22:108:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:109:10:109:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:109:13:109:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:109:14:109:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:109:15:109:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:109:22:109:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:110:10:110:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:110:13:110:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:110:14:110:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:110:15:110:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:110:22:110:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:111:10:111:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:111:17:111:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:111:18:111:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:111:19:111:19: s204 missing stylistic whitespaces
