texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:73:60:73:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:75:20:75:38: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:75:39:75:39: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:77:10:77:25: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:77:40:77:55: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:82:24:82:24: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:82:49:82:49: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:84:18:84:18: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:88:37:88:37: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:88:45:88:45: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:97:58:97:58: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:97:65:97:65: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:97:68:97:68: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:101:17:101:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:101:30:101:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:102:33:102:33: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:102:34:102:34: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:102:35:102:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:102:37:102:37: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:102:38:102:38: s204 missing stylistic whitespaces
