texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:367:15:367:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:335:7:335:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:336:28:336:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:337:6:337:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:341:14:341:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:341:21:341:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:341:22:341:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:341:25:341:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:341:26:341:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:341:27:341:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:341:28:341:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:343:12:343:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:343:19:343:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:343:25:343:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:345:25:345:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:346:8:346:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:346:14:346:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:349:8:349:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:349:17:349:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:349:18:349:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:350:15:350:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:350:23:350:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:350:24:350:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:350:25:350:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:350:26:350:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:350:27:350:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:362:4:362:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:364:26:364:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:366:40:366:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:366:59:366:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:367:1:367:82: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:368:32:368:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:368:43:368:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:368:51:368:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:368:53:368:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:369:58:369:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:369:67:369:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:369:68:369:68: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:370:37:370:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:371:64:371:64: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:373:38:373:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:373:42:373:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:383:21:383:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:383:27:383:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:385:15:385:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:385:23:385:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:385:24:385:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:385:25:385:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:385:26:385:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:385:27:385:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:399:19:399:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:402:10:402:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:402:16:402:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:402:17:402:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:404:24:404:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:405:36:405:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:405:39:405:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:406:37:406:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:406:38:406:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:406:47:406:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:406:60:406:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:406:76:406:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:407:27:407:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:407:40:407:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:407:55:407:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:408:6:408:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:408:7:408:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:409:28:409:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:410:6:410:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:414:14:414:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:414:21:414:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:414:22:414:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:414:25:414:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:414:26:414:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:414:27:414:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:414:28:414:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:416:12:416:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:416:19:416:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:416:25:416:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:418:20:418:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:419:8:419:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:419:14:419:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:419:15:419:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:420:19:420:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:490:32:490:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:490:35:490:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:490:36:490:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:490:46:490:46: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:490:47:490:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:490:50:490:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:491:26:491:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:491:30:491:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:18:492:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:25:492:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:26:492:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:27:492:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:31:492:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:32:492:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:33:492:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:492:40:492:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:18:506:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:28:506:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:29:506:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:30:506:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:34:506:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:35:506:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:36:506:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:506:43:506:43: s204 missing stylistic whitespaces
