texmf-dist/tex/luatex/luatexja/ltjbook.cls:396:15:396:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjbook.cls:402:60:402:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:412:21:412:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:412:27:412:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:414:15:414:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:414:23:414:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:414:24:414:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:414:25:414:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:414:26:414:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:414:27:414:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:428:19:428:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:431:10:431:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:431:16:431:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:431:17:431:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:433:24:433:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:434:36:434:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:434:39:434:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:435:37:435:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:435:38:435:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:435:47:435:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:435:60:435:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:435:76:435:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:436:27:436:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:436:40:436:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:436:55:436:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:437:6:437:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:437:7:437:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:438:28:438:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:439:6:439:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:443:14:443:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:443:21:443:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:443:22:443:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:443:25:443:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:443:26:443:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:443:27:443:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:443:28:443:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:445:12:445:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:445:19:445:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:445:25:445:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:447:20:447:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:448:8:448:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:448:14:448:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:448:15:448:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:449:19:449:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:18:573:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:25:573:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:26:573:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:27:573:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:31:573:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:32:573:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:33:573:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:573:40:573:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:587:21:587:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:587:26:587:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:587:27:587:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:18:592:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:28:592:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:29:592:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:30:592:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:34:592:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:35:592:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:36:592:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:592:43:592:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:596:35:596:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:596:38:596:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:596:39:596:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:596:49:596:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:596:50:596:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:596:53:596:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:598:26:598:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:598:33:598:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:600:25:600:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:601:30:601:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:601:37:601:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:601:38:601:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:602:8:602:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:603:32:603:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:603:39:603:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:603:40:603:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:603:56:603:56: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:603:67:603:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:604:32:604:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:604:39:604:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:604:40:604:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:18:608:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:25:608:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:26:608:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:27:608:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:34:608:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:35:608:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:36:608:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:608:43:608:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:616:21:616:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:616:27:616:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:616:53:616:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:617:54:617:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:617:61:617:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:623:37:623:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:623:40:623:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:623:41:623:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:623:61:623:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:624:37:624:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:624:40:624:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:624:41:624:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:624:61:624:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:18:628:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:28:628:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:29:628:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:30:628:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:37:628:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:38:628:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:39:628:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:628:43:628:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:634:28:634:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:634:45:634:45: s204 missing stylistic whitespaces
