texmf-dist/tex/latex/xmeaning/xmeaning.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/xmeaning/xmeaning.sty:305:13:305:21: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:311:9:311:17: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:312:1:312:89: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:317:5:317:15: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:322:1:322:91: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:1:323:106: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:34:323:44: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:45:323:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:48:323:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:59:323:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:60:323:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:71:323:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:82:323:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:98:323:106: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:323:98:323:106: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:324:46:324:54: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:327:12:327:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:327:33:327:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:327:34:327:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:328:18:328:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:328:39:328:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:328:40:328:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:329:5:329:13: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:331:3:331:13: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:1:336:106: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:34:336:44: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:45:336:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:48:336:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:59:336:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:60:336:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:71:336:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:82:336:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:98:336:106: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:336:98:336:106: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:340:63:340:71: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:347:1:347:92: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:347:18:347:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:347:19:347:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:347:20:347:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:347:21:347:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:348:18:348:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:348:19:348:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:348:20:348:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:348:21:348:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:349:18:349:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:349:19:349:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:349:20:349:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:361:7:361:15: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:365:60:365:68: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:370:67:370:75: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:374:5:374:15: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:381:1:381:83: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:381:45:381:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:381:46:381:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:381:49:381:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:381:50:381:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:386:1:386:88: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:409:1:409:88: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:447:53:447:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:448:53:448:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:448:69:448:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:449:46:449:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:449:56:449:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:453:1:453:84: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:454:1:454:84: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:457:1:457:87: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:457:59:457:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:464:1:464:94: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:464:70:464:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:470:1:470:83: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:475:1:475:83: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:478:13:478:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:486:31:486:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:486:38:486:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:492:1:492:14: w101 unexpected delimiters
