texmf-dist/tex/luatex/luatexja/ltjreport.cls:384:15:384:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjreport.cls:385:51:385:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:385:53:385:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:386:58:386:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:386:67:386:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:386:68:386:68: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:387:37:387:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:388:64:388:64: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:390:20:390:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:390:56:390:56: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:390:60:390:60: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:400:21:400:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:400:27:400:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:402:15:402:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:402:23:402:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:402:24:402:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:402:25:402:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:402:26:402:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:402:27:402:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:416:19:416:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:419:10:419:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:419:16:419:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:419:17:419:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:421:24:421:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:422:36:422:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:422:39:422:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:423:37:423:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:423:38:423:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:423:47:423:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:423:60:423:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:423:76:423:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:424:27:424:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:424:40:424:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:424:55:424:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:425:6:425:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:425:7:425:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:426:28:426:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:427:6:427:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:431:14:431:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:431:21:431:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:431:22:431:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:431:25:431:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:431:26:431:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:431:27:431:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:431:28:431:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:433:12:433:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:433:19:433:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:433:25:433:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:435:20:435:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:436:8:436:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:436:14:436:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:436:15:436:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:437:19:437:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:18:569:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:25:569:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:26:569:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:27:569:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:31:569:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:32:569:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:33:569:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:569:40:569:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:583:21:583:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:583:26:583:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:583:27:583:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:18:588:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:28:588:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:29:588:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:30:588:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:34:588:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:35:588:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:36:588:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:588:43:588:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:592:35:592:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:592:38:592:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:592:39:592:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:592:49:592:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:592:50:592:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:592:53:592:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:593:26:593:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:593:33:593:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:18:595:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:25:595:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:26:595:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:27:595:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:34:595:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:35:595:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:36:595:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:595:43:595:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:603:21:603:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:603:27:603:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:603:53:603:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:604:54:604:54: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:604:61:604:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:610:37:610:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:610:40:610:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:610:41:610:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:610:61:610:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:611:37:611:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:611:40:611:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:611:41:611:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:611:61:611:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:18:615:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:28:615:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:29:615:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:30:615:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:37:615:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:38:615:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:39:615:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:615:43:615:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:621:28:621:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:621:45:621:45: s204 missing stylistic whitespaces
