texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:191:67:191:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:192:46:192:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:192:57:192:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:200:38:200:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:209:38:209:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:211:44:211:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:211:52:211:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:215:31:215:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:215:34:215:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:215:46:215:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:215:47:215:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:215:62:215:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:217:50:217:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:220:1:220:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:220:44:220:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:220:53:220:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:221:1:221:82: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:223:61:223:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:225:54:225:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:226:48:226:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:227:48:227:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:228:39:228:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:234:37:234:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:234:40:234:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:234:53:234:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:236:49:236:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:240:57:240:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:241:49:241:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:241:59:241:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:245:35:245:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:247:49:247:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:248:41:248:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:248:49:248:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:252:35:252:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:254:49:254:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:255:41:255:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:255:49:255:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:260:44:260:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:262:19:262:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:262:32:262:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:264:35:264:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:265:32:265:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:266:34:266:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:267:34:267:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:268:36:268:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:269:35:269:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:270:31:270:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:271:36:271:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:271:39:271:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:271:65:271:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:279:39:279:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:283:23:283:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:284:37:284:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:285:33:285:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:285:41:285:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:286:1:286:94: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:286:32:286:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:286:40:286:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:287:1:287:84: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:287:31:287:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:287:32:287:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:287:40:287:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:288:1:288:133: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:288:38:288:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:288:46:288:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:294:1:294:137: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:294:24:294:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:294:45:294:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:294:82:294:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:294:96:294:121: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:294:122:294:122: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:300:34:300:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:321:23:321:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:327:21:327:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:331:40:331:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:331:43:331:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:340:16:340:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:341:33:341:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:341:51:341:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:345:44:345:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:352:54:352:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:352:55:352:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:352:63:352:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:362:43:362:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:363:1:363:121: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:363:52:363:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:363:78:363:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:363:88:363:88: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:363:89:363:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:363:90:363:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:364:1:364:91: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:364:36:364:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:366:47:366:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:367:1:367:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:367:54:367:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:367:82:367:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:369:1:369:90: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:369:57:369:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:369:67:369:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:370:1:370:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:371:1:371:90: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:371:57:371:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:371:67:371:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:378:61:378:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:379:1:379:125: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:379:69:379:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:379:77:379:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:379:117:379:117: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:380:30:380:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:381:1:381:181: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:381:65:381:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:381:103:381:103: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:381:133:381:152: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:381:171:381:171: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:383:1:383:127: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:383:72:383:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:383:119:383:119: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:385:1:385:85: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:385:48:385:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:385:57:385:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:391:1:391:103: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:393:1:393:86: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:393:86:393:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:405:1:405:104: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:405:56:405:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:405:65:405:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:413:33:413:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:413:36:413:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:413:49:413:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:420:30:420:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:426:32:426:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:426:35:426:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:426:48:426:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:433:45:433:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:434:1:434:97: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:434:31:434:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:434:67:434:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:434:91:434:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:434:97:434:97: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:436:1:436:83: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:436:80:436:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:447:32:447:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:451:36:451:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:451:42:451:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:466:31:466:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:466:35:466:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:466:38:466:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:470:49:470:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:471:53:471:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:474:47:474:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:474:57:474:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:477:50:477:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:482:44:482:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:484:44:484:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:485:1:485:102: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:487:1:487:108: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:501:1:501:171: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:501:29:501:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:501:65:501:88: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:501:89:501:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:501:115:501:115: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:501:157:501:157: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:501:171:501:171: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:502:1:502:112: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:502:71:502:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:505:30:505:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:506:1:506:148: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:506:75:506:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:506:79:506:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:506:82:506:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:506:107:506:132: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:511:1:511:112: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:511:42:511:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:511:46:511:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:511:49:511:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:511:99:511:99: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:513:1:513:115: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:513:78:513:103: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:520:26:520:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:520:33:520:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:530:47:530:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:531:50:531:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:532:39:532:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:532:51:532:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:533:39:533:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:533:50:533:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:541:47:541:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:543:50:543:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:545:31:545:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:546:43:546:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:549:39:549:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:558:29:558:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:559:28:559:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:560:30:560:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:566:36:566:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:571:33:571:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:577:27:577:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:577:34:577:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:577:42:577:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:578:27:578:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:578:35:578:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:578:44:578:44: s204 missing stylistic whitespaces
